# Хибні українські форми → правильні. Формат: <хибне>\t<заміна>[\t коментар]
#
# Навіщо. Модель, яка перекладає описи, помиляється саме в українській:
# на пробі 01.09.2026 вона видала «відвертка» замість «викрутка» і
# «слесарним» замість «слюсарним». Такі помилки НЕ ловить ознака мови
# (`uk_lexicon.ru_words`) — слово написане українськими літерами, і замір
# показує нуль. Тобто без цього переліку заміна російських слів на
# неправильні українські виглядала б як успіх.
#
# Дві форми запису:
#   `відвертк*` — ОСНОВА, ловить усі закінчення (відвертка, відверткою);
#   `бита`      — ЦІЛЕ слово. Основа `бит` зачепила б українські «битва» й
#                 «битий», тобто виправлення саме стало б помилкою.
# Регістр першої літери зберігається.
#
# Перелік поповнюється з ДАНИХ, а не з голови: після прогону `--audit`
# друкує непізнані слова перекладів, і звідти беруться нові рядки.

# ── три форми з постановки задачі (черга, 01.09.2026) ──
відвертк*	викрутк	отвёртка → викрутка, не «відвертка»
слесарн*	слюсарн
бита	біта	біта інструмента, не «бита» (=кий)
битою	бітою
битами	бітами
бит	біт	«набір бит» → «набір біт»

# ── знайдено на живій пробі 01.09 ──
кріпюч*	кріпильн	«крепёжных» → кріпильних
вікрутк*	викрутк	модель пише «Вікрутка» — правильно «викрутка»
